Bedrooms,Bathrooms,SquareFootageHouse,Location,Age,PoolQuality,HasPhotovoltaics,HeatingType,HasFiberglass,IsFurnished,DateSinceForSale,HouseColor,PreviousOwnerName,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,WindowModelNames,Price
,2.0,77.0,Suburban,43.0,None,True,Electricity,True,True,2021-07-01,White,Martin,False,Good,Good,Poor,Good,6.0,2.73,45.6,Aluminum BOL Window,66.69446
,1.0,58.0,Rural,70.0,Poor,False,Gas,False,True,2023-02-06,Yellow,Daniel,False,Good,Good,Good,Good,13.0,2.54,,Wood EEI,231.8549
1.0,1.0,25.0,Rural,12.0,None,True,Electricity,True,True,2022-03-25,Yellow,Johanna,False,Good,Poor,Poor,Poor,6.0,2.81,,Aluminum JMGB5 Window,80.99881
1.0,2.0,107.0,Suburbann,42.0,None,False,Oil Heating,False,False,2020-02-01,Gray,Natalie,False,Good,Poor,Good,Excellent,6.0,2.39,,Aluminum IIRQOEL Window,93.19452
,2.0,92.0,Urban,24.0,None,,Oil,True,False,2023-08-17,White,Denis,False,Excellent,Good,Poor,Excellent,6.0,1.54,147.2,LG4 Aluminum D90 Window,170.18799
,,104.0,,19.0,Good,False,Oil Heating,False,False,2023-02-16,Gray,Natalie,False,Excellent,Good,Poor,Good,18.0,1.29,164.8,Steel AHY60B7 Window,178.2931
1.0,,22.0,Urban,,None,True,Electricity,False,True,2021-04-10,Yellow,Daniel,False,Good,Excellent,Good,Excellent,6.0,2.95,,Wood 806E9 Window,102.57766
3.0,2.0,139.0,Urban,51.0,None,True,Oil,True,True,2022-04-12,Green,Daniel,False,Good,Good,Good,Good,6.0,2.71,220.8,Aluminum 5NC,261.3923
2.0,,113.0,Rural,,,False,Oil Heating,True,False,2020-02-06,White,Sabrina,False,Poor,Good,Excellent,Good,18.0,3.52,180.8,PAVIVD Wood QUV,322.41243
,1.0,114.0,Suburbann,,None,True,Electric,False,True,2024-02-11,Green,Maria,False,Good,Poor,Good,Good,6.0,1.75,67.2,J9LDN Steel NDXV Window,140.81174
,,90.0,Urban,32.0,,True,Gas,True,False,2020-05-30,Gray,Denis,False,Good,Excellent,Poor,Poor,6.0,2.46,91.0,Wood DSVEVD,164.74893
1.0,1.0,43.0,,14.0,,True,Oil Heating,True,False,2020-05-15,Gray,,False,Good,Good,Good,Excellent,6.0,2.51,,8WE0K Aluminum JTDZB1E Window,97.84387
1.0,,30.0,,,None,False,Gas,False,True,2021-02-18,White,Stefan,False,Good,Good,Excellent,Good,6.0,1.96,30.0,Aluminum I34Y Window,81.19021
1.0,1.0,54.0,Rural,41.0,None,True,Oil Heating,False,True,2021-03-25,Yellow,Theresa,False,Good,Good,Excellent,Good,6.0,4.14,,Steel O8VNDA Window,305.9297
,2.0,82.0,Suburbann,27.0,Poor,False,Oil Heating,True,False,2021-04-24,Gray,Denis,False,Poor,Poor,Poor,Good,13.0,1.02,,Aluminum S7W,85.74889
2.0,,113.0,Suburbann,64.0,None,False,Gas,True,False,2021-03-19,Green,Roman,False,Excellent,Excellent,Good,Poor,6.0,3.05,112.0,KM4 Aluminum AH5,90.83978
,3.0,120.0,Suburbann,52.0,None,False,Electricity,True,True,2023-10-23,White,Laura,False,Poor,Good,Good,Good,6.0,2.02,72.0,T9GN Wood ONDOC Window,128.85314
2.0,2.0,86.0,Suburbann,38.0,,True,Oil Heating,False,False,2023-08-06,Green,Lukas,False,Good,Excellent,Good,Good,18.0,2.77,,8FWBB8 Wood 2EVA,137.04618
,5.0,144.0,Suburban,43.0,None,False,Oil,False,True,2022-01-23,White,Laura,False,Good,Good,Good,Good,6.0,1.74,,Wood AW9 Window,196.7862
,1.0,40.0,Suburban,55.0,None,False,Gas,True,True,2023-02-05,Green,Laura,False,Excellent,Excellent,Excellent,Good,6.0,3.25,,E97T Wood 6UJ Window,95.0582
,1.0,24.0,Urban,51.0,None,False,Electricity,False,True,2020-06-18,White,Maria,False,Good,Good,Good,Excellent,6.0,1.65,,Steel A0X3J5 Window,154.4858
1.0,1.0,42.0,Urban,65.0,None,False,Electric,True,True,2021-12-10,Yellow,Lukas,False,Good,Good,Poor,Excellent,6.0,3.2,,IIERG Steel VBY Window,175.81998
1.0,1.0,54.0,Rural,44.0,Good,False,Oil Heating,False,True,2022-01-01,Green,Stefan,False,Excellent,Good,Poor,Excellent,18.0,2.12,84.8,Steel C6N,355.11076
2.0,4.0,143.0,Urban,43.0,,False,Electric,False,True,2022-04-11,Green,Lukas,False,Good,Good,Excellent,Excellent,6.0,2.35,85.8,6V9JETI Steel YZ7,297.08753
1.0,1.0,48.0,Rural,62.0,Excellent,False,Oil,True,False,2023-01-01,Yellow,Sabrina,False,Good,Good,Poor,Poor,30.0,3.22,80.0,Wood 2AEJH,261.60197
,1.0,92.0,Urban,56.0,,False,Oil,True,False,2020-05-17,Gray,Natalie,False,Good,Excellent,Excellent,Excellent,6.0,2.51,,Wood G9HSX Window,200.70364
5.0,,144.0,Rural,,None,False,Electricity,True,True,2022-09-02,Yellow,Maria,False,Good,Excellent,Good,Good,6.0,3.79,88.2,Steel IYIJK Window,428.08389
2.0,3.0,-634.0,Rural,45.0,Poor,False,Electric,True,True,2021-06-20,Green,Natalie,False,Good,Excellent,Excellent,Good,13.0,1.7,61.8,5QFA Steel RBVP,391.18856
1.0,1.0,41.0,,49.0,,False,Gas,False,True,2021-05-12,Green,Stefan,False,Excellent,Good,Poor,Good,6.0,3.03,41.0,SMX3C Wood FL8PE6W,76.49827
,1.0,139.0,Suburban,28.0,None,,Gas,False,True,2022-10-09,Yellow,,False,Good,Poor,Good,Good,6.0,3.1,139.0,Steel PB5,184.37198
1.0,,87.0,Urban,,None,False,Oil,False,True,2023-02-02,Gray,Theresa,False,Good,Excellent,Good,Excellent,6.0,2.99,,I7RXH Aluminum IV26EHW,167.04942
1.0,1.0,68.0,Suburbann,23.0,None,False,Electric,False,True,2023-08-18,Green,Sabrina,False,Poor,Poor,Good,Good,6.0,1.59,,Aluminum OOMFTV0,55.39365
,1.0,37.0,Urban,52.0,Good,False,Gas,False,True,2021-11-09,Yellow,,False,Good,Good,Good,Good,18.0,4.24,,586 Wood 0Q4,155.70577
1.0,1.0,31.0,Suburban,32.0,None,False,Electricity,False,True,2021-07-31,Yellow,Maria,False,Excellent,Excellent,Excellent,Poor,6.0,2.57,,UIAW6T Steel COIL Window,106.32176
2.0,3.0,113.0,Rural,57.0,None,False,Electric,False,True,2022-05-20,Gray,Maria,False,Excellent,Good,Good,Excellent,6.0,2.01,67.8,Wood AI4G,294.29462
3.0,,128.0,,66.0,,False,Gas,False,True,2021-07-10,Green,,False,Poor,Excellent,Good,Poor,6.0,1.9,,Aluminum RZQRA4 Window,106.3152
1.0,2.0,95.0,Urban,17.0,Excellent,False,Oil Heating,False,True,2023-04-06,Green,Sabrina,False,Excellent,Good,Good,Good,30.0,1.54,,Wood LPXHI6,319.4221
2.0,1.0,87.0,Urban,46.0,None,False,Electric,True,True,2023-01-13,White,Johanna,False,Good,Good,Excellent,Good,6.0,1.33,,I15ZGM Wood 394AT Window,189.03683
4.0,2.0,128.0,,12.0,None,False,Electric,True,True,2022-11-06,Gray,Theresa,False,Good,Excellent,Excellent,Poor,6.0,1.67,78.0,IQ4T Wood 71DT Window,251.00054
,2.0,145.0,,,Good,False,Oil Heating,False,True,2020-11-27,Yellow,Stefan,False,Good,Good,Good,Good,18.0,4.73,,0I9 Wood RC5,468.50897
1.0,,41.0,Urban,41.0,,False,Electricity,False,True,2021-11-09,Yellow,Denis,False,Poor,Good,Good,Excellent,6.0,3.37,24.0,NNZFQZ Aluminum MWH7U,69.89245
,2.0,72.0,Rural,17.0,Good,False,Oil Heating,False,True,2020-01-02,Yellow,Florian,False,Good,Good,Good,Good,18.0,4.54,116.8,7X27I Aluminum WV86AHI Window,254.46161
,2.0,80.0,,36.0,Poor,False,Electric,True,True,2021-11-09,White,Maria,False,Excellent,Excellent,Good,Poor,13.0,1.87,47.4,Aluminum PHJ3 Window,90.51519
1.0,1.0,55.0,Urban,,Excellent,False,Electric,False,True,2024-02-16,White,,False,Good,Good,Good,Poor,30.0,1.72,,Aluminum 2QT,141.13943
1.0,,69.0,Rural,,,False,Electric,False,False,2022-04-25,Gray,Stefan,False,Good,Poor,Excellent,Good,6.0,2.06,40.8,45RUJFO Steel 6HXHH8R,219.77459
1.0,1.0,25.0,Suburban,,Good,False,Oil Heating,False,False,2021-10-31,Yellow,Martin,False,Good,Excellent,Good,Good,18.0,4.32,38.4,Wood 6URV9B2,74.8947
2.0,1.0,62.0,Suburban,33.0,,False,Electric,False,True,2022-02-16,Yellow,Natalie,False,Good,Excellent,Excellent,Good,6.0,2.11,,Wood QD3,96.33517
1.0,1.0,74.0,Urban,46.0,Good,False,Electric,False,False,2023-10-18,Green,Andreas,False,Excellent,Good,Good,Good,18.0,2.4,,Steel 2HL6,210.21342
,2.0,64.0,Urban,-14.0,None,True,Electric,False,True,2022-04-10,White,Sandra,False,Good,Poor,Excellent,Good,6.0,2.25,,FI9 Wood EMROKA Window,135.85347
1.0,,61.0,Suburbann,34.0,None,False,Gas,True,True,2020-08-25,White,Daniel,False,Good,Excellent,Good,Good,6.0,2.06,,Wood LS5,98.95543
1.0,1.0,99.0,Urban,42.0,Good,False,Oil Heating,True,False,2020-06-11,White,,False,Good,Good,Poor,Good,18.0,3.34,5629.0,Wood B4JXK,216.57231
,1.0,50.0,Suburban,28.0,Poor,False,Gas,False,True,2020-07-07,Green,Martin,False,Good,Good,Good,Excellent,13.0,2.81,49.0,H61PIH Aluminum TS1N0,67.16359
2.0,2.0,74.0,Suburban,27.0,None,True,Electric,False,True,2022-08-08,Yellow,Denis,False,Good,Poor,Good,Good,6.0,3.67,44.4,3HYG Steel EPXODM,128.40403
4.0,4.0,137.0,Rural,,None,True,Oil Heating,True,True,2021-02-04,Green,Martin,False,Good,Poor,Excellent,Excellent,6.0,2.41,219.2,YFJ Wood TJP8MU3,441.05025
,,,,,,,,,,,,,,,,,,,,,,
,,119.0,Rural,58.0,None,,Electric,False,True,2023-08-06,Gray,Lukas,False,Good,Excellent,Good,Good,6.0,2.88,72.0,PRY2I Wood IU9,289.9213
1.0,,48.0,Rural,63.0,None,False,Electricity,False,True,2023-09-01,Gray,Andreas,False,Poor,Excellent,Good,Good,6.0,1.21,,Steel 3PA1C Window,254.86948
1.0,1.0,46.0,,71.0,,False,Oil,False,True,2020-12-10,White,Sandra,False,Excellent,Good,Good,Good,6.0,2.94,,Aluminum 4PE1Y6,57.89463
1.0,,86.0,Suburbann,,,True,Electricity,True,True,2022-09-24,Gray,Stefan,False,Good,Excellent,Excellent,Excellent,18.0,2.96,50.4,Wood K56ULJ Window,129.93928
,1.0,34.0,Suburbann,51.0,None,,Electricity,True,True,2022-02-01,White,Denis,False,Excellent,Good,Poor,Poor,6.0,3.31,19.2,HILRX8 Aluminum HME Window,39.72991
3.0,3.0,126.0,Urban,41.0,,False,Electricity,False,True,2023-03-26,Green,Lukas,False,Good,Good,Excellent,Good,6.0,1.73,,Aluminum XAHXJT,176.87952
,,131.0,Rural,31.0,Good,True,Oil Heating,True,False,2022-03-23,Gray,Martin,False,Good,Poor,Excellent,Good,18.0,2.94,208.0,58HUO5M Aluminum TLJ Window,359.49444
2.0,2.0,135.0,,70.0,Poor,False,Oil,False,True,2020-08-06,Green,Roman,False,Excellent,Excellent,Excellent,Good,13.0,2.64,217.6,Steel 74QL4 Window,215.79207
2.0,,114.0,Urban,41.0,None,False,Oil Heating,True,True,2021-01-03,Gray,Sabrina,False,Good,Good,Good,Poor,6.0,2.84,,I5BTY7 Aluminum C81J Window,206.15128
1.0,,38.0,,20.0,None,False,Gas,True,False,2022-01-15,White,Daniel,False,Good,Excellent,Excellent,Good,6.0,1.54,,YLPFC Wood NVC5 Window,77.91556
1.0,,25.0,Urban,44.0,None,False,Oil Heating,True,True,2020-12-29,Gray,Sandra,False,Good,Excellent,Excellent,Good,6.0,1.37,,Aluminum Y8FT,90.13752
1.0,1.0,98.0,Rural,50.0,None,True,Oil Heating,False,True,2023-09-07,White,Maria,False,Excellent,Excellent,Good,Excellent,6.0,2.03,158.4,6JG2S1 Steel W1DQMCK,432.81053
1.0,2.0,69.0,Urban,67.0,Poor,False,Electricity,True,False,2020-04-28,White,Andreas,False,Good,Good,Excellent,Excellent,13.0,2.85,,Steel 22JJQ4,189.27129
1.0,1.0,95.0,Urban,71.0,None,,Gas,False,False,2021-10-14,White,Daniel,False,Excellent,Good,Poor,Excellent,6.0,2.97,,CNRA Steel S8CREN4,201.11313
1.0,,125.0,Urban,36.0,Excellent,True,Oil,False,True,2020-02-29,Yellow,Natalie,False,Excellent,Excellent,Good,Poor,30.0,2.22,200.0,4MK Aluminum 0VZSWC Window,278.35973
,,108.0,,33.0,Poor,False,Oil,False,True,2023-01-04,Green,Andreas,False,Excellent,Poor,Good,Good,13.0,3.28,171.2,73CSZ8 Aluminum 50M,222.06624
,1.0,23.0,Suburban,43.0,None,False,Oil,False,True,2020-04-14,Green,Martin,False,Good,Good,Good,Poor,6.0,3.21,38.4,EIE2IN Aluminum LKYA,36.12811
,1.0,95.0,Rural,26.0,,,Electricity,True,True,2020-05-07,Green,Roman,False,Poor,Poor,Good,Good,18.0,2.93,57.6,20YGHZ Steel JJWYEA Window,357.57389
,,6653.0,Suburban,47.0,None,False,Gas,True,False,2021-03-25,Green,,False,Poor,Poor,Poor,Excellent,6.0,1.57,95.0,Steel BZK,118.74909
1.0,1.0,24.0,,60.0,Good,False,Electric,True,True,2021-05-27,White,Andreas,False,Excellent,Good,Good,Poor,18.0,2.5,,Y3JWQ Wood A2II4W Window,87.99958
,3.0,141.0,,51.0,None,False,Electric,False,True,2021-05-07,White,Laura,False,Excellent,Good,Excellent,Good,6.0,3.35,84.0,Steel MAILSVI Window,289.90447
1.0,2.0,105.0,,17.0,,False,Electricity,False,True,2020-11-29,Yellow,Sandra,False,Good,Excellent,Good,Excellent,6.0,4.67,63.0,GDUOENL Steel L4YE Window,346.10199
2.0,3.0,127.0,Urban,27.0,Excellent,False,Oil,True,True,2021-02-25,Yellow,Denis,False,Poor,Good,Excellent,Excellent,30.0,4.69,,00FN0RC Wood NO3,365.55414
,,75.0,Rural,,,False,Electric,True,False,2021-08-06,Gray,Denis,False,Excellent,Good,Excellent,Poor,6.0,1.89,45.6,Aluminum UZTZ4V Window,132.40868
2.0,1.0,69.0,Urban,32.0,Excellent,False,Oil,False,True,2023-04-28,White,Sandra,False,Good,Good,Excellent,Excellent,30.0,1.33,,W45 Steel HCNS1JV,336.75564
1.0,2.0,140.0,Suburbann,65.0,None,False,Oil,True,True,2020-04-13,Yellow,Daniel,False,Good,Poor,Excellent,Poor,6.0,1.86,,91N10Y Aluminum TXYMEQS Window,141.0717
,1.0,97.0,,61.0,None,False,Oil Heating,False,True,2022-10-23,Green,,False,Excellent,Poor,Poor,Excellent,6.0,2.23,,Aluminum XBNWF Window,242.08507
1.0,2.0,129.0,Rural,43.0,None,False,Electric,True,False,2022-12-21,Green,Daniel,False,Good,Excellent,Good,Poor,6.0,2.88,77.4,Aluminum VIR,198.68932
2.0,,106.0,Rural,30.0,Good,,Oil,True,True,2023-06-18,Green,Florian,False,Poor,Excellent,Good,Good,18.0,2.2,,WT53JV Wood LIVD,438.60932
,,61.0,,53.0,None,False,Gas,True,True,2022-01-30,Yellow,,False,Poor,Excellent,Good,Good,6.0,4.36,61.0,Wood AN1VQ,102.80152
,1.0,62.0,Suburban,31.0,,False,Oil Heating,True,False,2021-04-05,Gray,Theresa,False,Excellent,Poor,Poor,Poor,6.0,1.58,,8E61VDL Steel CYSF3X Window,115.92925
,,81.0,Suburban,46.0,Good,False,Electric,False,False,2023-02-13,Yellow,Daniel,False,Good,Excellent,Good,Poor,18.0,3.47,,OVQAPZ Aluminum JKQ,71.01309
1.0,,101.0,Suburban,52.0,None,True,Oil,True,False,2022-02-01,Gray,,False,Poor,Excellent,Good,Good,6.0,1.54,163.2,Steel 51A1,150.10216
2.0,,84.0,Rural,35.0,None,True,Oil,False,True,2023-06-16,Yellow,Denis,False,Good,Good,Good,Excellent,6.0,2.84,132.8,NKO Steel DEE8,392.38495
1.0,1.0,57.0,,46.0,Excellent,True,Electricity,True,True,2024-01-22,Yellow,Sandra,False,Excellent,Excellent,Good,Good,30.0,4.31,33.0,Wood 96O47 Window,327.22401
,2.0,98.0,,44.0,None,False,Oil,False,True,2023-10-28,Yellow,Roman,False,Good,Excellent,Good,Good,6.0,3.53,155.2,YOKJZ12 Steel 8ZRE Window,184.01566
1.0,1.0,53.0,Urban,25.0,Poor,False,Gas,False,True,2023-11-26,Gray,Andreas,False,Poor,Excellent,Poor,Excellent,13.0,2.78,52.0,NU0 Wood 6KLML19,174.59349
5.0,1.0,139.0,Rural,43.0,Poor,False,Oil,False,False,2020-02-06,Green,Maria,False,Good,Poor,Poor,Good,13.0,2.49,219.2,Steel GFPQ8F,402.41247
2.0,1.0,66.0,Urban,37.0,Good,False,Oil,False,False,2022-08-26,White,Natalie,False,Excellent,Good,Excellent,Good,18.0,2.88,104.0,2O5YW Aluminum 0S7,3064.1809999999996
4.0,4.0,134.0,Rural,13.0,None,True,Gas,False,True,2022-06-12,White,,False,Excellent,Excellent,Good,Excellent,6.0,1.6,,Steel YDK2U,485.24458
,1.0,65.0,Rural,43.0,,True,Oil Heating,True,False,2020-09-21,Gray,,False,Poor,Good,Good,Good,6.0,1.91,,5Z89K Aluminum 71PN Window,157.51327
,,124.0,Urban,45.0,None,False,Oil Heating,True,True,2021-03-13,Yellow,Lukas,False,Good,Excellent,Good,Excellent,6.0,4.73,,GEY8BMK Wood GXZHRU,294.51367
,2.0,61.0,Suburbann,39.0,None,False,Gas,True,False,2020-03-05,Green,Florian,False,Good,Good,Good,Excellent,6.0,2.44,,Aluminum I2VM3E Window,60.49951
,,116.0,Suburbann,10.0,Good,False,Oil Heating,False,True,2020-07-06,Gray,Laura,False,Good,Good,Excellent,Excellent,18.0,2.56,,ZJYDP Wood KLC1HJB,184.92843
,,54.0,Urban,67.0,Excellent,True,Electric,False,True,2022-04-27,White,Florian,False,Excellent,Good,Excellent,Poor,30.0,2.28,32.4,HV6W Steel Y3LK2,251.81969
1.0,3.0,115.0,,64.0,None,,Electricity,False,True,2021-02-11,Yellow,Denis,False,Excellent,Poor,Good,Excellent,6.0,3.96,69.0,Wood 14W0DD,193.494
,1.0,133.0,Urban,65.0,Good,True,Oil,False,True,2022-06-11,White,Martin,False,Excellent,Poor,Excellent,Good,18.0,1.56,211.2,U9AVA1 Wood VGNSV Window,316.9648
1.0,1.0,30.0,Urban,57.0,None,False,Gas,False,True,2020-12-30,Gray,Natalie,False,Good,Good,Good,Good,6.0,1.2,,WE7VZ Steel N9JZJA5,160.54858
,1.0,33.0,,25.0,Poor,True,Oil,False,True,2023-03-20,Green,,False,Poor,Excellent,Good,Excellent,13.0,1.66,52.8,L8U09 Steel YPBV,307.66075
2.0,2.0,106.0,Rural,52.0,None,False,Oil Heating,True,False,2021-01-26,Green,Lukas,False,Good,Poor,Good,Excellent,6.0,2.3,168.0,A7XMSYA Aluminum QWZK,234.95163
,1.0,21.0,Urban,31.0,None,False,Electric,True,True,2021-04-29,White,Sandra,False,Good,Poor,Good,Poor,6.0,3.3,12.6,Aluminum QDRK,54.68688
1.0,,52.0,Urban,,None,False,Gas,True,True,2022-08-30,Green,Sandra,False,Good,Good,Excellent,Good,6.0,1.53,51.0,Wood 2VA52PP,147.36668
,,68.0,Suburban,41.0,None,False,Oil,True,True,2024-03-14,Green,Martin,False,Excellent,Good,Excellent,Poor,6.0,3.47,,7NL Wood ZWFBA0V,128.38954
,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,83.0,Urban,20.0,Good,True,Oil Heating,False,False,2020-01-17,Gray,Sabrina,False,Good,Excellent,Poor,Poor,18.0,2.82,,N76QB9S Aluminum 1Z08W Window,152.69114
,2.0,77.0,Rural,26.0,None,False,Gas,False,False,2021-03-23,White,Theresa,False,Excellent,Excellent,Good,Excellent,6.0,1.74,,Aluminum KHSCARM Window,169.56636
1.0,1.0,30.0,Rural,39.0,Poor,False,Oil,True,False,2021-08-15,Green,Martin,False,Excellent,Good,Poor,Good,13.0,3.29,,Q1872 Aluminum L4Q2Y,125.01933
1.0,1.0,47.0,Urban,64.0,None,False,Electric,False,False,2021-09-13,White,,False,Good,Excellent,Poor,Poor,6.0,3.29,,Aluminum 7JW3L,53.1958
1.0,1.0,30.0,,63.0,None,False,Gas,True,True,2021-10-09,Green,Natalie,False,Good,Good,Poor,Good,6.0,1.89,28.0,Wood 41ZZ,116.1301
1.0,,120.0,Suburbann,56.0,Excellent,False,Electricity,True,True,2023-07-16,Yellow,,False,Good,Good,Good,Good,30.0,2.89,72.0,L0HQ39 Aluminum 4WHB,140.22898
1.0,2.0,76.0,Rural,14.0,Good,False,Electricity,True,True,2021-10-17,White,Andreas,False,Good,Excellent,Poor,Excellent,18.0,2.29,,OVPF70 Steel 8C0,371.95595
2.0,2.0,61.0,Rural,,Good,False,Oil,False,False,2022-01-08,Yellow,Sabrina,False,Excellent,Excellent,Good,Good,18.0,4.9,,GN1I Aluminum KCK0M7 Window,199.58647
,,110.0,Suburbann,32.0,None,True,Electric,False,True,2020-12-21,White,Florian,False,Poor,Excellent,Good,Good,6.0,2.33,,Steel NH0LQS Window,146.00907
,,26.0,Rural,,None,False,Gas,False,True,2022-05-21,Green,Denis,False,Excellent,Excellent,Good,Good,6.0,2.02,,Wood 34E6 Window,162.9264
5.0,1.0,147.0,Urban,,Poor,False,Gas,True,False,2023-12-05,White,Daniel,False,Excellent,Good,Excellent,Good,13.0,2.2,148.0,9Z9D3ZU Steel RIN Window,305.86283
2.0,2.0,65.0,Suburbann,66.0,None,False,Gas,True,True,2021-12-16,Green,Denis,False,Good,Poor,Excellent,Poor,6.0,2.67,,Aluminum SA4Z8F Window,68.37273
,,28.0,Urban,,Poor,False,Gas,False,True,2023-10-19,White,Laura,False,Poor,Good,Excellent,Poor,13.0,3.16,29.0,2RL5U6 Wood B10ZS4S,127.71217
1.0,,67.0,Suburban,25.0,Good,False,Electricity,True,False,2021-04-18,Gray,Denis,False,Poor,Good,Good,Good,18.0,2.31,,Wood 8XKI3M Window,93.01801
1.0,1.0,146.0,Urban,,Excellent,True,Oil,False,True,2020-03-25,Green,Andreas,False,Excellent,Excellent,Good,Poor,30.0,3.36,235.2,YTNHYE Aluminum NSY7,292.37802
,,25.0,Rural,56.0,None,False,Gas,True,False,2024-02-25,White,,False,Good,Excellent,Good,Excellent,6.0,2.86,,Steel YGKKBPR Window,225.47934
1.0,1.0,31.0,Urban,70.0,None,False,Electric,True,False,2021-05-04,Gray,Sandra,False,Good,Good,Good,Good,6.0,2.73,18.6,Steel Y35A35 Window,137.21808
,1.0,127.0,Suburban,34.0,None,False,Oil,True,True,2024-02-01,White,Daniel,False,Good,Excellent,Excellent,Excellent,6.0,2.63,,Wood 10T Window,193.37909
2.0,2.0,59.0,Urban,48.0,Good,,Oil,False,False,2021-06-10,Yellow,,False,Good,Good,Good,Poor,18.0,1.82,96.0,ZMD4 Aluminum A4Z,129.65361
1.0,1.0,55.0,Suburbann,25.0,None,False,Electricity,True,False,2020-11-30,White,Daniel,False,Good,Excellent,Good,Good,6.0,2.16,,Aluminum 39VZ Window,51.55194
